iter	Passed	Remaining
917	1167	104
918	1170	103
919	1171	101
920	1172	100
921	1173	99
922	1174	98
923	1175	96
924	1176	95
925	1177	94
926	1179	92
927	1180	91
928	1180	90
929	1182	88
930	1183	87
931	1185	86
932	1186	85
933	1187	83
934	1188	82
935	1189	81
936	1190	80
937	1191	78
938	1192	77
939	1193	76
940	1194	74
941	1195	73
942	1196	72
943	1197	71
944	1200	69
945	1201	68
946	1202	67
947	1203	65
948	1204	64
949	1204	63
950	1205	62
951	1206	60
952	1207	59
953	1208	58
954	1209	56
955	1210	55
956	1211	54
957	1212	53
958	1213	51
959	1214	50
960	1215	49
961	1216	48
962	1217	46
963	1218	45
964	1219	44
965	1220	42
966	1221	41
967	1222	40
968	1223	39
969	1224	37
970	1225	36
971	1226	35
972	1228	34
973	1229	32
974	1231	31
975	1232	30
976	1234	29
977	1235	27
978	1235	26
979	1236	25
980	1237	23
981	1238	22
982	1239	21
983	1240	20
984	1241	18
985	1243	17
986	1244	16
987	1245	15
988	1245	13
989	1247	12
990	1248	11
991	1249	10
992	1249	8
993	1250	7
994	1251	6
995	1252	5
996	1253	3
997	1254	2
998	1255	1
999	1256	0
